Ref Des,Mfr,Mfr Part,Description,Vendor,Vendor Part,Qty,Price/1000,Price/Unit
"C1,2",TDK,C1608C0G1H180J,CAP CER 18PF 50V 5% NP0 0603,Digi-Key,445-1272-1-ND,2,$0.01,$0.02
C3,Murata,GRM188F51C105ZA01D,CAP CER 1UF 16V Y5V 0603,Digi-Key,490-1582-1-ND,1,$0.02,$0.02
C4,Murata,GRM21BF51A106ZE15L,CAP CER 10UF 10V Y5V 0805,Digi-Key,490-3332-1-ND,1,$0.05,$0.05
"C5,6",Murata,GRM188F51C104ZA01D,CAP CER .1UF 16V Y5V 0603,Digi-Key,490-1577-1-ND,2,$0.01,$0.02
"C8,9",,,,,,,,$0.00
D1,,,RGB LED through-hole,,,1,,$0.00
"FB1,2",TDK,MPZ1608S601A,FERRITE CHIP BEAD 600 OHM SMD,Digi-Key,445-2205-1-ND,2,$0.04,$0.08
J1,Hirose,UX60-MB-5ST,CONN RECEPT MINI USB2.0 5POS,Digi-Key,H2959TR-ND,1,$0.44,$0.44
M1,,,100uA panel meter,,,1,$3.49,$3.49
"R1,2",Yageo,RC0603JR-0722RL,RES 22 OHM 1/10W 5% 0603 SMD,Digi-Key,311-22GRCT-ND,2,$0.00,$0.00
R3,Panasonic,ERJ-3EKF1002V,RES 10.0K OHM 1/10W 1% 0603 SMD,Digi-Key,P10.0KHCT-ND,1,$0.00,$0.00
R4,Yageo,RC0603FR-0730KL,RES 30.0K OHM 1/10W 1% 0603 SMD,Digi-Key,311-30.0KHRCT-ND,1,$0.00,$0.00
"R5,7",Yageo,RC0603FR-07150RL,RES 150 OHM 1/10W 1% 0603 SMD,Digi-Key,311-150HRCT-ND,2,$0.00,$0.01
R6,Yageo,RC0603FR-07100RL,RES 100 OHM 1/10W 1% 0603 SMD,Digi-Key,311-100HRCT-ND,1,$0.00,$0.00
R8,Yageo,RC0603FR-07300RL,RES 300 OHM 1/10W 1% 0603 SMD,Digi-Key,311-300HRCT-ND,1,$0.00,$0.00
R9,Panasonic,ERJ-3EKF2701V,RES 2.70K OHM 1/10W 1% 0603 SMD,Digi-Key,P2.70KHCT-ND,1,$0.00,$0.00
R10,,,,,,1,,$0.00
U1,Atmel,AT90USB162-16MU,MCU AVR USB 16K FLASH 32-QFN,Digi-Key,AT90USB162-16MU-ND,1,$2.07,$2.07
X1,TXC,7V-16.000MAAE-T,CRYSTAL 16.000 MHZ 12PF SMD,Digi-Key,887-1462-1-ND,1,$0.45,$0.45
,Sunstone, ,PCB,Sunstone,,1,$0.81,$0.81
,,,Assembly,,,1,$3.00,$3.00
,Total,$10.48,Retail,$35.00,,,,