Ref Des,Mfr,Mfr Part,Description,Vendor,Vendor Part,Qty
"C1,2",TDK,C1608C0G1H270J,CAP CER 27PF 50V 5% C0G/NP0 0603,Digi-Key,445-1274-1-ND	,2
"C3,4",Murata,GRM188F51C105ZA01D,CAP CER 1UF 16V Y5V 0603,Digi-Key,490-1582-1-ND,2
"C5,6",Murata,GRM188F51C104ZA01D,CAP CER .1UF 16V Y5V 0603,Digi-Key,490-1577-1-ND,2
"C7,8",,,do not insert,,,0
D1,Cree,CLP6C-FKB-CM1Q1H1BB7R3R3,LED RED/GREEN/BLUE PLCC6 SMD,Digi-Key,CLP6C-FKB-CM1Q1H1BB7R3R3CT-ND,1
FB1,TDK,MPZ1608S601A,FERRITE CHIP BEAD 600 OHM SMD,Digi-Key,445-2205-1-ND,1
J1,On Shore Technology,USB-B1KSB6,CONN USB TYPE B VERTICAL BLACK,Digi-Key,ED2981-ND,1
Q1,NXP,"2N7002F,215",MOSFET N-CH 60V 475MA SOT23,Digi-Key,568-5983-1-ND,1
"R1,2",Yageo,RC0603JR-0722RL,RES 22 OHM 1/10W 5% 0603 SMD,Digi-Key,311-22GRCT-ND,2
R3,Yageo,RC0603FR-07137RL,RES 137 OHM 1/10W 1% 0603 SMD,Digi-Key,311-137HRCT-ND,1
"R4,5",Yageo,RC0603FR-0776R8L,RES 76.8 OHM 1/10W 1% 0603 SMD,Digi-Key,311-76.8HRCT-ND,2
R6,Yageo,RC0603FR-0730KL,RES 30.0K OHM 1/10W 1% 0603 SMD,Digi-Key,311-30.0KHRCT-ND,1
U1,Atmel,AT90USB162-16AU,MCU AVR USB 16K FLASH 32-TQFP,Digi-Key,AT90USB162-16AU-ND,1
X1,Abracon,ABLS-8.000MHZ-B4-T,CRYSTAL 8.000 MHZ 18PF SMD,Digi-Key,535-10212-2-ND	,1
,Sunstone, ,PCB,Sunstone,,1
,,,Assembly,,,1
M1,,,100uA panel meter,,,1